Pagina,Codigo,Pontos,Preco Normal,Preco Promocional,Desconto
8,167617,26 pt,"R$ 264,80","R$ 169,90","R$ 94,90"
9,161488,20 pt,"R$ 204,90","R$ 139,90","R$ 65,00"
9,126268,null,"R$ 139,90",null,null
10,159808,46 pt,R$ 467,"R$ 304,90","R$ 163,00"
11,159810,25 pt,"R$ 259,90","R$ 169,90","R$ 90,00"
11,159809,36 pt,"R$ 169,90","R$ 199,90","R$ 168,00"
12,161490,37 pt,"R$ 373,00","R$ 204,90","R$ 168,10"
13,159806,32 pt,"R$ 323,00","R$ 159,90","R$ 163,10"
13,159811,17 pt,"R$ 159,90","R$ 109,90","R$ 63,00"
14,159812,24 pt,R$ 247,"R$ 149,90",R$ 97
15,159807,28 pt,"R$ 285,90",R$ 167,"R$ 118,00"
16,161487,20 pt,"R$ 284,20","R$ 206,90",R$ 77
17,159802,12 pt,"R$ 204,20","R$ 126,90",R$ 77
18,159818,25 pt,"R$ 259,90","R$ 169,90","R$ 90,00"
18,126268,null,"R$ 169,90",null,null
19,169278,20 pt,"R$ 253,40","R$ 199,90","R$ 53,50"
20,153680,33 pt,"R$ 333,50","R$ 239,90","R$ 93,60"
21,153681,26 pt,"R$ 269,90","R$ 199,90","R$ 70,00"
21,126268,null,"R$ 199,90",null,null
22,159804,22 pt,"R$ 222,80","R$ 144,90",R$ 77
22,166269,14 pt,"R$ 144,90","R$ 99,90","R$ 44,00"
23,159813,12 pt,"R$ 122,90","R$ 94,90","R$ 28,00"
23,159798,11 pt,"R$ 94,90","R$ 109,90","R$ 80,60"
24,159833,03 pt,"R$ 42,70","R$ 34,90",R$ 77
24,161489,09 pt,"R$ 34,90","R$ 89,90",null
25,159799,21 pt,"R$ 202,40","R$ 104,90",R$ 97
25,159814,20 pt,"R$ 104,90","R$ 143,90","R$ 72,30"
26,163518,09 pt,"R$ 54,60","R$ 39,90","R$ 14,70"
26,151561,04 pt,"R$ 39,90","R$ 62,90",null
27,126267,01 pt,"R$ 6,00",null,null
27,126265,01 pt,"R$ 8,00",null,null
27,154851,01 pt,"R$ 11,00",null,null
27,131332,01 pt,"R$ 4,50",null,null
27,126268,01 pt,"R$ 5,00",null,null
27,148397,03 pt,"R$ 26,00",null,null
27,123072,01 pt,R$ 7,null,null
27,154849,06 pt,"R$ 45,00",null,null
30,53255,18 pt,"R$ 184,90",null,null
30,99159,20 pt,"R$ 204,90",null,null
30,59847,20 pt,"R$ 204,90",null,null
30,125366,20 pt,"R$ 204,90",null,null
31,81951,20 pt,"R$ 204,90",null,"R$ 65,00"
31,161488,20 pt,"R$ 204,90",null,"R$ 94,90"
31,71770,20 pt,"R$ 65,00",null,null
31,110816,20 pt,"R$ 204,90",null,null
31,167617,26 pt,"R$ 204,90",null,null
32,78934,05 pt,R$ 57,null,"R$ 18,00"
32,87265,06 pt,"R$ 18,00",null,"R$ 16,00"
32,78933,10 pt,"R$ 61,90",null,"R$ 25,00"
32,96701,05 pt,"R$ 16,00",null,"R$ 11,00"
32,78906,06 pt,"R$ 104,90",null,null
32,78909,07 pt,"R$ 25,00",null,null
32,87264,04 pt,"R$ 50,90",null,null
32,95313,03 pt,"R$ 65,60",null,null
32,78937,04 pt,"R$ 75,40",null,null
32,78904,null,"R$ 41,90",null,null
33,153681,27 pt,"R$ 269,90",null,"R$ 70,00"
34,103348,30 pt,"R$ 299,90","R$ 109,90",null
34,107122,21 pt,"R$ 213,90",null,null
35,159809,20 pt,"R$ 199,901.",null,"R$ 168,00"
35,114274,36 pt,R$ 367,null,null
35,114277,04 pt,"R$ 168,00",null,null
35,114276,05 pt,"R$ 44,90",null,null
36,76424,26 pt,"R$ 259,90",null,"R$ 90,00"
36,11683,20 pt,"R$ 199,90",null,null
36,95560,26 pt,"R$ 259,90",null,null
36,76422,26 pt,"R$ 259,90",null,null
36,114584,20 pt,"R$ 199,90",null,null
36,114586,26 pt,"R$ 259,90",null,null
36,159810,20 pt,"R$ 90,00",null,null
37,159818,25 pt,"R$ 259,90",null,"R$ 90,00"
